"","P1_0K","Q1_0K","P2_0L","Q2_0L","P3_0E","Q3_0E","P4_0M","Q4_0M","P5_0S","Q5_0S","QE0_0Total","V1_0K","V2_0L","V3_0E","V4_0M","V5_0S","V0_0Total","W1_0K","W2_0L","W3_0E","W4_0M","W5_0S","PC1_0K","PC2_0L","PC3_0E","PC4_0M","PC5_0S","PC0_0Total","P0_0Total","PI0_0Total","Q0_0Total","QI0_0Total","QEI0_0Total","QC1_0K","QC2_0L","QC3_0E","QC4_0M","QC5_0S","QC0_0Total"
"2007",1,10,1,2000,1,100,1,800,1,5,2915,10,2000,100,800,5,2915,0.00343053173241852,0.686106346483705,0.0343053173241852,0.274442538593482,0.00171526586620926,0,0,0,0,0,0,1,1,2915,1,1,0,0,0,0,0,0
"2008",1.1,12,1.1,1900,1.2,120,1.2,1000,1.2,7,3039,13.2,2090,144,1200,8.4,3455.6,0.00381988656094455,0.604815372149554,0.0416714897557588,0.347262414631323,0.00243083690241926,0.000345519335598501,0.0615189905581221,0.00692610487352467,0.0566751074692296,0.000377961955702039,0.125843684192177,1.12584368419218,1.12584368419218,3069.34261702546,1.05294772453704,1.04253859348199,0.000660953775326662,-0.0331078138725693,0.00692610487352467,0.0693647255661088,0.000697524235910921,0.0445414945783018
"2009",1.2,13,1.11,1600,1.3,110,1.25,900,1.22,9,2632,15.6,1776,143,1125,10.98,3070.58,0.00508047339590566,0.578392355841567,0.0465710061291352,0.366380292973966,0.00357587165942591,0.000387216287774449,0.00535391766210768,0.00353158415124891,0.0145661593496416,0.0000496433497758301,0.0238885208005485,1.15273842446017,1.15273842446017,2663.72659646352,0.913799861565529,0.902915951972556,0.000356204455107705,-0.101667276026442,-0.00383905053797318,-0.0375948818343703,0.000754786264035071,-0.141990217679642
"2010",1.4,14,1.2,1300,1.4,90,1.4,700,1.27,13,2117,19.6,1560,126,980,16.51,2702.11,0.00725359071244324,0.577326607725074,0.0466302260085637,0.362679535622162,0.00611003993175704,0.000950652183667485,0.0450508159527165,0.00345347715797658,0.0413116959424741,0.000194522364559678,0.0909611636013943,1.2575928528771,1.2575928528771,2148.63657488046,0.737096595156246,0.726243567753002,0.00045702623974187,-0.119986375728574,-0.00935137803550071,-0.0916116270031056,0.0017808748550905,-0.218711479672348
"2011",1.41,16,1.3,1100,1.55,80,1.6,900,1.3,19,2115,22.56,1430,124,1440,24.7,3041.26,0.00741797807487686,0.47019985137739,0.0407725745250324,0.473487962226183,0.00812163379651855,0.0000522122089812106,0.0419234270731167,0.00444804626427194,0.055827305227526,0.000166136033410233,0.102417126807306,1.38639189956218,1.38639189956218,2193.65101668614,0.752538942259396,0.725557461406518,0.000979557506078665,-0.0874967868929049,-0.00514728358585816,0.105070478334416,0.00270038623968546,0.0161063516014174
"2012",1.45,15,1.4,1050,1.8,100,1.7,1000,1.31,21,2186,21.75,1470,180,1700,27.51,3399.26,0.00639845142766367,0.432447062007613,0.05295270147032,0.500108847219689,0.00809293787471391,0.000193249377329202,0.0334466661608894,0.0070074515182461,0.0295119691871718,0.000062125099670282,0.0702214613433067,1.48374636474396,1.48374636474396,2290.99803091116,0.785934144394909,0.74991423670669,-0.000445845963747737,-0.020995574261729,0.0104570954667537,0.0512893309430158,0.000811405205938509,0.0411164113902312
"2013",1.46,16,1.41,1000,2.1,100,1.9,1200,1.35,26,2342,23.36,1410,210,2280,35.1,3958.46,0.00590128484309555,0.356199127943695,0.053050933949061,0.575981568589805,0.00886708467434305,0.0000422673013301183,0.0028065819190079,0.00817026623202921,0.0598444199672182,0.000255057159521243,0.0711185925791067,1.58926831794891,1.58926831794891,2490.74366819866,0.854457519107604,0.803430531732419,0.000396903394648472,-0.0192390885396607,0,0.0980972399307204,0.00181111077847482,0.081066165564183
"2014",1.5,17,1.43,1050,2.3,110,2.1,1100,1.36,29,2306,25.5,1501.5,253,2310,39.44,4129.44,0.00617517145181913,0.363608624898291,0.0612673873454996,0.55939788445891,0.00955093184548026,0.000163205290401138,0.00506915248181924,0.00519987048482988,0.0568163512178253,0.0000679634690628395,0.0673165429439384,1.69625236692356,1.69625236692356,2434.44907168467,0.83514547913711,0.791080617495712,0.000366065297880953,0.0175597692157952,0.00544784987875658,-0.0493954648077507,0.00100561718168212,-0.0250161632336358
"2015",1.6,19,1.5,950,2.6,90,2.4,1000,1.38,34,2093,30.4,1425,234,2400,46.92,4136.32,0.00734952808293362,0.344509128887514,0.0565720253752128,0.580225901284233,0.0113434163701068,0.00043643205340147,0.0169207087638638,0.00722369281677804,0.0760877755891562,0.000152516199317537,0.100821125422517,1.8672704395574,1.8672704395574,2215.16921832727,0.759920829614845,0.718010291595197,0.000752146647713916,-0.0354354369322426,-0.0118234584517584,-0.0543088739642322,0.00166177655919935,-0.0991538461413199
"2016",1.65,21,1.51,900,3,100,2.7,1200,1.4,38,2259,34.65,1359,300,3240,53.2,4986.85,0.00694827396051616,0.272516718970893,0.060158216108365,0.649708733970342,0.0106680569898834,0.000219983542082923,0.00204992730230892,0.00835209801733974,0.0724327174996054,0.000158358655555392,0.0832130850168924,2.02265177339383,2.02265177339383,2465.50101485463,0.84579794677689,0.774957118353345,0.000715486739135774,-0.01668043652282,0.00614937921778617,0.112121798727209,0.00122412005208834,0.1035303482134
